-1,1.10435,1.43452,0.33017
-0.85,0.423461,0.339592,0.0838681
-0.7,-0.122031,-0.0168027,0.105228
-0.55,-0.366901,-0.348631,0.0182699
-0.4,-0.214952,-0.306587,0.0916351
-0.25,0.261198,0.208634,0.0525645
-0.1,0.79507,0.849042,0.0539722
0.05,1.01846,1.10593,0.0874695
0.2,0.651927,0.669614,0.017687
0.35,-0.295818,-0.3643,0.068482
0.5,-1.44586,-1.5216,0.0757337
0.65,-2.17892,-2.17916,0.000238505
0.8,-1.96671,-1.8951,0.0716144
0.95,-0.760147,-0.701546,0.0586005
1.1,0.797962,0.77555,0.0224115
1.25,1.5353,1.46621,0.0690833
1.4,0.313224,0.295703,0.0175213
1.55,-3.23485,-3.18041,0.0544434
1.7,-8.20838,-8.19007,0.0183103
1.85,-12.5946,-12.6404,0.0458399
2,-14.1999,-14.1534,0.0465605
